subj,sheet,roi,direction,td_ms,N,Hz,model
BRAIN,20230619_BRAIN-3,Syringe,long,120,1,0,monoexp
BRAIN,20230619_BRAIN-3,Syringe,long,120,4,20,monoexp
BRAIN,20230619_BRAIN-3,Syringe,long,120,8,40,monoexp
BRAIN,20230619_BRAIN-3,Syringe,long,120,12,55,monoexp
BRAIN,20230619_BRAIN-3,Syringe,long,143.4,1,0,monoexp
BRAIN,20230619_BRAIN-3,Syringe,long,143.4,4,15,monoexp
BRAIN,20230619_BRAIN-3,Syringe,long,143.4,8,30,monoexp
BRAIN,20230619_BRAIN-3,Syringe,long,143.4,12,45,monoexp
BRAIN,20230619_BRAIN-3,Syringe,tra,120,1,0,monoexp
BRAIN,20230619_BRAIN-3,Syringe,tra,120,4,20,monoexp
BRAIN,20230619_BRAIN-3,Syringe,tra,120,8,40,monoexp
BRAIN,20230619_BRAIN-3,Syringe,tra,120,12,55,monoexp
BRAIN,20230619_BRAIN-3,Syringe,tra,143.4,1,0,monoexp
BRAIN,20230619_BRAIN-3,Syringe,tra,143.4,4,15,monoexp
BRAIN,20230619_BRAIN-3,Syringe,tra,143.4,8,30,monoexp
BRAIN,20230619_BRAIN-3,Syringe,tra,143.4,12,45,monoexp
BRAIN,20230623_BRAIN-4,Syringe,long,76,1,0,monoexp
BRAIN,20230623_BRAIN-4,Syringe,long,76,4,35,monoexp
BRAIN,20230623_BRAIN-4,Syringe,long,76,8,65,monoexp
BRAIN,20230623_BRAIN-4,Syringe,long,76,12,95,monoexp
BRAIN,20230623_BRAIN-4,Syringe,long,210,1,0,monoexp
BRAIN,20230623_BRAIN-4,Syringe,long,210,4,10,monoexp
BRAIN,20230623_BRAIN-4,Syringe,long,210,8,20,monoexp
BRAIN,20230623_BRAIN-4,Syringe,long,210,12,30,monoexp
BRAIN,20230623_BRAIN-4,Syringe,tra,76,1,0,monoexp
BRAIN,20230623_BRAIN-4,Syringe,tra,76,4,35,monoexp
BRAIN,20230623_BRAIN-4,Syringe,tra,76,8,65,monoexp
BRAIN,20230623_BRAIN-4,Syringe,tra,76,12,95,monoexp
BRAIN,20230623_BRAIN-4,Syringe,tra,210,1,0,monoexp
BRAIN,20230623_BRAIN-4,Syringe,tra,210,4,10,monoexp
BRAIN,20230623_BRAIN-4,Syringe,tra,210,8,20,monoexp
BRAIN,20230623_BRAIN-4,Syringe,tra,210,12,30,monoexp
LUDG,20230623_LUDG-2,Syringe,long,120,1,0,monoexp
LUDG,20230623_LUDG-2,Syringe,long,120,4,20,monoexp
LUDG,20230623_LUDG-2,Syringe,long,120,8,40,monoexp
LUDG,20230623_LUDG-2,Syringe,long,120,12,55,monoexp
LUDG,20230623_LUDG-2,Syringe,long,143.4,1,0,monoexp
LUDG,20230623_LUDG-2,Syringe,long,143.4,4,15,monoexp
LUDG,20230623_LUDG-2,Syringe,long,143.4,8,30,monoexp
LUDG,20230623_LUDG-2,Syringe,long,143.4,12,45,monoexp
LUDG,20230623_LUDG-2,Syringe,tra,120,1,0,monoexp
LUDG,20230623_LUDG-2,Syringe,tra,120,4,20,monoexp
LUDG,20230623_LUDG-2,Syringe,tra,120,8,40,monoexp
LUDG,20230623_LUDG-2,Syringe,tra,120,12,55,monoexp
LUDG,20230623_LUDG-2,Syringe,tra,143.4,1,0,monoexp
LUDG,20230623_LUDG-2,Syringe,tra,143.4,4,15,monoexp
LUDG,20230623_LUDG-2,Syringe,tra,143.4,8,30,monoexp
LUDG,20230623_LUDG-2,Syringe,tra,143.4,12,45,monoexp
LUDG,20230710_LUDG-3,Syringe,long,90,1,0,monoexp
LUDG,20230710_LUDG-3,Syringe,long,90,4,25,monoexp
LUDG,20230710_LUDG-3,Syringe,long,90,8,50,monoexp
LUDG,20230710_LUDG-3,Syringe,long,90,12,75,monoexp
LUDG,20230710_LUDG-3,Syringe,long,210,1,0,monoexp
LUDG,20230710_LUDG-3,Syringe,long,210,4,10,monoexp
LUDG,20230710_LUDG-3,Syringe,long,210,8,20,monoexp
LUDG,20230710_LUDG-3,Syringe,long,210,12,30,monoexp
LUDG,20230710_LUDG-3,Syringe,tra,90,1,0,monoexp
LUDG,20230710_LUDG-3,Syringe,tra,90,4,25,monoexp
LUDG,20230710_LUDG-3,Syringe,tra,90,8,50,monoexp
LUDG,20230710_LUDG-3,Syringe,tra,90,12,75,monoexp
LUDG,20230710_LUDG-3,Syringe,tra,210,1,0,monoexp
LUDG,20230710_LUDG-3,Syringe,tra,210,4,10,monoexp
LUDG,20230710_LUDG-3,Syringe,tra,210,8,20,monoexp
LUDG,20230710_LUDG-3,Syringe,tra,210,12,30,monoexp
